,species,sepal_length,sepal_width,petal_length,petal_width
96,versicolor,5.7,3,4.2,1.2
97,versicolor,5.7,2.9,4.2,1.3
98,versicolor,6.2,2.9,4.3,1.3
99,versicolor,5.1,2.5,3,1.1
100,versicolor,5.7,2.8,4.1,1.3
101,virginica,6.3,3.3,6,2.5
102,virginica,5.8,2.7,5.1,1.9
103,virginica,7.1,3,5.9,2.1
104,virginica,6.3,2.9,5.6,1.8
105,virginica,6.5,3,5.8,2.2
106,virginica,7.6,3,6.6,2.1
107,virginica,4.9,2.5,4.5,1.7
108,virginica,7.3,2.9,6.3,1.8
109,virginica,6.7,2.5,5.8,1.8
110,virginica,7.2,3.6,6.1,2.5
111,virginica,6.5,3.2,5.1,2
112,virginica,6.4,2.7,5.3,1.9
113,virginica,6.8,3,5.5,2.1
114,virginica,5.7,2.5,5,2
115,virginica,5.8,2.8,5.1,2.4
116,virginica,6.4,3.2,5.3,2.3
117,virginica,6.5,3,5.5,1.8
118,virginica,7.7,3.8,6.7,2.2
119,virginica,7.7,2.6,6.9,2.3
120,virginica,6,2.2,5,1.5
121,virginica,6.9,3.2,5.7,2.3
122,virginica,5.6,2.8,4.9,2
123,virginica,7.7,2.8,6.7,2
124,virginica,6.3,2.7,4.9,1.8
125,virginica,6.7,3.3,5.7,2.1
126,virginica,7.2,3.2,6,1.8
127,virginica,6.2,2.8,4.8,1.8
128,virginica,6.1,3,4.9,1.8
129,virginica,6.4,2.8,5.6,2.1
130,virginica,7.2,3,5.8,1.6
131,virginica,7.4,2.8,6.1,1.9
132,virginica,7.9,3.8,6.4,2
133,virginica,6.4,2.8,5.6,2.2
134,virginica,6.3,2.8,5.1,1.5
135,virginica,6.1,2.6,5.6,1.4
136,virginica,7.7,3,6.1,2.3
137,virginica,6.3,3.4,5.6,2.4
138,virginica,6.4,3.1,5.5,1.8
139,virginica,6,3,4.8,1.8
140,virginica,6.9,3.1,5.4,2.1
141,virginica,6.7,3.1,5.6,2.4
142,virginica,6.9,3.1,5.1,2.3
143,virginica,5.8,2.7,5.1,1.9
144,virginica,6.8,3.2,5.9,2.3
145,virginica,6.7,3.3,5.7,2.5
146,virginica,6.7,3,5.2,2.3
147,virginica,6.3,2.5,5,1.9
148,virginica,6.5,3,5.2,2
149,virginica,6.2,3.4,5.4,2.3
150,virginica,5.9,3,5.1,1.8
