species,sepal_length,sepal_width,petal_length,petal_width,stem_length
versicolor,5.6,3,4.5,1.5,12.0245797667
versicolor,5.8,2.7,4.1,1,12.0097599925
versicolor,6.2,2.2,4.5,1.5,12.0205228297
versicolor,5.6,2.5,3.9,1.1,12.0687749556
versicolor,5.9,3.2,4.8,1.8,12.0768256095
versicolor,6.1,2.8,4,1.3,12.0566079361
versicolor,6.3,2.5,4.9,1.5,12.0139386643
versicolor,6.1,2.8,4.7,1.2,12.1572840894
versicolor,6.4,2.9,4.3,1.3,12.1349908857
versicolor,6.6,3,4.4,1.4,12.0801335468
versicolor,6.8,2.8,4.8,1.4,12.0663006586
versicolor,6.7,3,5,1.7,12.1092744857
versicolor,6,2.9,4.5,1.5,12.1659632294
versicolor,5.7,2.6,3.5,1,12.0939699165
versicolor,5.5,2.4,3.8,1.1,12.0777395304
versicolor,5.5,2.4,3.7,1,12.1143043837
versicolor,5.8,2.7,3.9,1.2,12.0385756707
versicolor,6,2.7,5.1,1.6,12.0208983033
versicolor,5.4,3,4.5,1.5,12.0145510899
versicolor,6,3.4,4.5,1.6,12.1507995691
versicolor,6.7,3.1,4.7,1.5,12.1196447822
versicolor,6.3,2.3,4.4,1.3,12.1809707281
versicolor,5.6,3,4.1,1.3,12.0014549599
versicolor,5.5,2.5,4,1.3,12.1014256806
versicolor,5.5,2.6,4.4,1.2,12.0166506326
versicolor,6.1,3,4.6,1.4,12.1402720179
versicolor,5.8,2.6,4,1.2,12.0388075138
versicolor,5,2.3,3.3,1,12.011376934
versicolor,5.6,2.7,4.2,1.3,12.0064397743
versicolor,5.7,3,4.2,1.2,12.1896006611
versicolor,5.7,2.9,4.2,1.3,12.1696489857
versicolor,6.2,2.9,4.3,1.3,12.1390308926
versicolor,5.1,2.5,3,1.1,12.1424576441
versicolor,5.7,2.8,4.1,1.3,12.1967702179
virginica,6.3,3.3,6,2.5,12.0650887245
virginica,5.8,2.7,5.1,1.9,12.1007484406
virginica,7.1,3,5.9,2.1,12.1937294252
virginica,6.3,2.9,5.6,1.8,12.1928704272
virginica,6.5,3,5.8,2.2,12.0624928919
virginica,7.6,3,6.6,2.1,12.0905453895
virginica,4.9,2.5,4.5,1.7,12.0887019367
virginica,7.3,2.9,6.3,1.8,12.1167322907
virginica,6.7,2.5,5.8,1.8,12.1021133407
virginica,7.2,3.6,6.1,2.5,12.1152173824
virginica,6.5,3.2,5.1,2,12.1280117874
virginica,6.4,2.7,5.3,1.9,12.0401291626
virginica,6.8,3,5.5,2.1,12.166530496
virginica,5.7,2.5,5,2,12.1273672672
virginica,5.8,2.8,5.1,2.4,12.0858091525
virginica,6.4,3.2,5.3,2.3,12.1659550229
virginica,6.5,3,5.5,1.8,12.053217655
virginica,7.7,3.8,6.7,2.2,12.0896648929
virginica,7.7,2.6,6.9,2.3,12.1388817708
virginica,6,2.2,5,1.5,12.0403408899
virginica,6.9,3.2,5.7,2.3,12.0985199924
virginica,5.6,2.8,4.9,2,12.0834459875
virginica,7.7,2.8,6.7,2,12.0723824705
virginica,6.3,2.7,4.9,1.8,12.1965075095
virginica,6.7,3.3,5.7,2.1,12.0067480158
virginica,7.2,3.2,6,1.8,12.0013935268
virginica,6.2,2.8,4.8,1.8,12.0952385188
virginica,6.1,3,4.9,1.8,12.0590352924
virginica,6.4,2.8,5.6,2.1,12.0303582784
virginica,7.2,3,5.8,1.6,12.151167758
virginica,7.4,2.8,6.1,1.9,12.0691054067
virginica,7.9,3.8,6.4,2,12.0201654196
virginica,6.4,2.8,5.6,2.2,12.0910714018
virginica,6.3,2.8,5.1,1.5,12.1949230712
virginica,6.1,2.6,5.6,1.4,12.1761791477
virginica,7.7,3,6.1,2.3,12.0253511852
virginica,6.3,3.4,5.6,2.4,12.1576194088
virginica,6.4,3.1,5.5,1.8,12.0289263513
virginica,6,3,4.8,1.8,12.1192886876
virginica,6.9,3.1,5.4,2.1,12.1524865156
virginica,6.7,3.1,5.6,2.4,12.1318525529
virginica,6.9,3.1,5.1,2.3,12.1828252944
virginica,5.8,2.7,5.1,1.9,12.1016173136
virginica,6.8,3.2,5.9,2.3,12.0308217923
virginica,6.7,3.3,5.7,2.5,12.1766682961
virginica,6.7,3,5.2,2.3,12.1307581675
virginica,6.3,2.5,5,1.9,12.0126703617
virginica,6.5,3,5.2,2,12.0023810362
virginica,6.2,3.4,5.4,2.3,12.0354090982
virginica,5.9,3,5.1,1.8,12.163747651
